DataSize,Mean,Variance,Sample
100,0.2,0.05,0.22186632768273437
100,0.2,0.05,0.706281109800474
100,0.2,0.05,0.03953806402374855
100,0.2,0.05,0.008515573167453841
100,0.2,0.05,0.31420692367372943
100,0.2,0.05,0.3829250216860853
100,0.2,0.05,0.11515546176442795
100,0.2,0.05,0.00385446420120315
100,0.2,0.05,0.062260310818773215
100,0.2,0.05,0.60361169026863
100,0.2,0.05,0.22658198699198648
100,0.2,0.05,0.4095191757820557
100,0.2,0.05,0.40802954253294776
100,0.2,0.05,0.40446600221964035
100,0.2,0.05,0.0065332969091071065
100,0.2,0.05,0.014320634786451814
100,0.2,0.05,1.1492228964523073E-4
100,0.2,0.05,0.08262905124781961
100,0.2,0.05,0.0019752422910058907
100,0.2,0.05,0.014968394327969425
100,0.2,0.05,0.1304944129387469
100,0.2,0.05,0.002773851961221519
100,0.2,0.05,0.018938464495495053
100,0.2,0.05,0.46720645193501426
100,0.2,0.05,0.2785619571694325
100,0.2,0.05,0.0432224716155721
100,0.2,0.05,0.14959156233571538
100,0.2,0.05,0.003659176903740155
100,0.2,0.05,1.4563065395707748E-4
100,0.2,0.05,0.007383745773348628
100,0.2,0.05,0.2382216560388818
100,0.2,0.05,0.01866838440244608
100,0.2,0.05,0.03264177293053721
100,0.2,0.05,0.2201273953210588
100,0.2,0.05,0.016639268886133637
100,0.2,0.05,0.11943702233378366
100,0.2,0.05,0.25802016251848936
100,0.2,0.05,0.39922391200441787
100,0.2,0.05,0.247049973386305
100,0.2,0.05,0.023885943560962096
100,0.2,0.05,0.08416014595336073
100,0.2,0.05,0.00776523238115435
100,0.2,0.05,0.21037719181915468
100,0.2,0.05,0.00906936107699042
100,0.2,0.05,0.07011891580057361
100,0.2,0.05,0.3561112750899108
100,0.2,0.05,0.0025831653430271164
100,0.2,0.05,9.664478729501761E-5
100,0.2,0.05,0.0463021200441057
100,0.2,0.05,0.603630993169599
100,0.2,0.05,0.05364074551592187
100,0.2,0.05,0.10169335024949354
100,0.2,0.05,9.200789715177013E-4
100,0.2,0.05,0.3178139720653697
100,0.2,0.05,0.08930434314799768
100,0.2,0.05,0.0768556267271384
100,0.2,0.05,0.013407840829074053
100,0.2,0.05,0.5060872077156803
100,0.2,0.05,0.09883155245585333
100,0.2,0.05,0.1850524009151611
100,0.2,0.05,0.01078764947763913
100,0.2,0.05,0.010008821758734373
100,0.2,0.05,0.13025995587407205
100,0.2,0.05,0.4377552229099032
100,0.2,0.05,0.1376999460519197
100,0.2,0.05,0.07436424760700039
100,0.2,0.05,0.003589189623978085
100,0.2,0.05,0.18639209079126956
100,0.2,0.05,0.1604044651316711
100,0.2,0.05,0.13085701426327237
100,0.2,0.05,0.04543771087593605
100,0.2,0.05,0.05860956649670631
100,0.2,0.05,0.055533070435059013
100,0.2,0.05,0.01634978431424698
100,0.2,0.05,0.29823021472996314
100,0.2,0.05,0.004100576560857506
100,0.2,0.05,2.0656420588020496E-4
100,0.2,0.05,0.5785090504312861
100,0.2,0.05,0.23680294575264846
100,0.2,0.05,0.05060014825495962
100,0.2,0.05,0.0038518844782397003
100,0.2,0.05,0.06656192077063428
100,0.2,0.05,0.313580790535448
100,0.2,0.05,7.336962480245236E-9
100,0.2,0.05,0.33527213907054754
100,0.2,0.05,0.5873996759503985
100,0.2,0.05,0.20147471073940057
100,0.2,0.05,0.043600331217179863
100,0.2,0.05,0.002689091229622841
100,0.2,0.05,0.013731564248622024
100,0.2,0.05,0.34059665053819366
100,0.2,0.05,0.45911223796615847
100,0.2,0.05,0.047978195348337575
100,0.2,0.05,0.08028445499967216
100,0.2,0.05,0.004950872105358637
100,0.2,0.05,0.04090868798587922
100,0.2,0.05,0.38003755617454404
100,0.2,0.05,0.11889566029659132
100,0.2,0.05,0.015248966803792232
100,0.2,0.05,0.10657480172585852
100,0.2,0.1,5.587116962459241E-8
100,0.2,0.1,0.9850081864938061
100,0.2,0.1,0.0507038798940002
100,0.2,0.1,0.0032931164662278745
100,0.2,0.1,0.0023105063044060715
100,0.2,0.1,0.002989777584421718
100,0.2,0.1,4.5655702057974045E-4
100,0.2,0.1,0.6244555483207831
100,0.2,0.1,0.01260828201179256
100,0.2,0.1,0.0019784693154426733
100,0.2,0.1,3.559305097440634E-7
100,0.2,0.1,0.0020848834341093605
100,0.2,0.1,0.0013247282086667055
100,0.2,0.1,0.002829569213356109
100,0.2,0.1,4.883675709446281E-5
100,0.2,0.1,0.0011724086390987284
100,0.2,0.1,0.010490037902273328
100,0.2,0.1,0.6290858606803058
100,0.2,0.1,2.0544637740535895E-9
100,0.2,0.1,0.02330731295964593
100,0.2,0.1,0.0028666846405014097
100,0.2,0.1,2.929522298841889E-5
100,0.2,0.1,1.3487761128786038E-5
100,0.2,0.1,0.014607915753929454
100,0.2,0.1,0.28755860186857307
100,0.2,0.1,0.9666907952815849
100,0.2,0.1,0.7607251763551047
100,0.2,0.1,0.7971923658245743
100,0.2,0.1,0.4427814458245994
100,0.2,0.1,0.01109247713619248
100,0.2,0.1,5.94230291152318E-4
100,0.2,0.1,1.1349158628579346E-12
100,0.2,0.1,0.07426740622374323
100,0.2,0.1,0.08695890051467753
100,0.2,0.1,0.004337578352573433
100,0.2,0.1,0.821672186722316
100,0.2,0.1,4.152996368945782E-6
100,0.2,0.1,0.012214084014015135
100,0.2,0.1,3.873060353396868E-8
100,0.2,0.1,0.0014884125161997884
100,0.2,0.1,0.20862610113704955
100,0.2,0.1,0.1646321871902039
100,0.2,0.1,0.026260609459257154
100,0.2,0.1,1.3642549086996726E-17
100,0.2,0.1,0.959275688928556
100,0.2,0.1,0.999921828927964
100,0.2,0.1,5.122132697078238E-6
100,0.2,0.1,0.0036299224914478696
100,0.2,0.1,0.057235333709112074
100,0.2,0.1,0.3462880303899771
100,0.2,0.1,3.0028534228295453E-5
100,0.2,0.1,9.999200857918895E-6
100,0.2,0.1,2.589292579839165E-7
100,0.2,0.1,5.01739448679292E-9
100,0.2,0.1,1.0082395111402028E-7
100,0.2,0.1,0.07142862495758508
100,0.2,0.1,0.06048746776574128
100,0.2,0.1,6.143212134953958E-6
100,0.2,0.1,0.07749919564684732
100,0.2,0.1,1.1417777019855897E-6
100,0.2,0.1,0.7805976605319063
100,0.2,0.1,0.5121108318644105
100,0.2,0.1,0.0012694013802893604
100,0.2,0.1,0.004913366538756671
100,0.2,0.1,0.32851190448738676
100,0.2,0.1,0.30201305988938815
100,0.2,0.1,0.4507547007411027
100,0.2,0.1,8.3059655720215E-11
100,0.2,0.1,3.6834836499830413E-6
100,0.2,0.1,4.938297404316449E-4
100,0.2,0.1,0.5799512075718943
100,0.2,0.1,0.006166098857786098
100,0.2,0.1,0.9847125506244366
100,0.2,0.1,0.6494333134363426
100,0.2,0.1,3.928531251307736E-9
100,0.2,0.1,0.05669222314975152
100,0.2,0.1,0.02393432583858956
100,0.2,0.1,0.9894752774158684
100,0.2,0.1,6.117364274848888E-11
100,0.2,0.1,0.9962050751277168
100,0.2,0.1,1.6499865844382308E-9
100,0.2,0.1,0.003338871351917721
100,0.2,0.1,0.4803121602575857
100,0.2,0.1,0.5438173436036513
100,0.2,0.1,0.007135134745406817
100,0.2,0.1,9.593140647577897E-5
100,0.2,0.1,0.17938972035727854
100,0.2,0.1,6.338673435599652E-6
100,0.2,0.1,0.02859485194685297
100,0.2,0.1,0.18600962266471208
100,0.2,0.1,0.582090866344218
100,0.2,0.1,0.004787456809932131
100,0.2,0.1,8.158573150516896E-4
100,0.2,0.1,9.804758657177488E-4
100,0.2,0.1,0.9855332778257938
100,0.2,0.1,2.0610648700151706E-4
100,0.2,0.1,2.5867279720837594E-7
100,0.2,0.1,0.10157948707838967
100,0.2,0.1,3.9303384893899026E-5
100,0.2,0.1,0.0038100370541963788
100,0.2,0.15,1.3919292551233167E-29
100,0.2,0.15,2.802656262965566E-5
100,0.2,0.15,1.5531116794214024E-25
100,0.2,0.15,2.463213251446887E-24
100,0.2,0.15,0.9999433188442791
100,0.2,0.15,0.9886353774937643
100,0.2,0.15,0.9989620067895489
